Temática,Processo SEI,Publicação mais recente,Colegiado,Membro,Função,Tipo
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,FERNANDA MARSARO DOS SANTOS,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,KLEVER CORRENTE DA SILVA,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,JOELMA BOMFIM,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,CASSIA BARRETTO,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,EDNA MARTINS,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,EDUARDO GOLFETTO,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,ROBSON LUSTOZA,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,DANUBIA,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,JORGE RENAN MARINHO,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,EDSON BESERRA,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,IGOR LEAL,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,GIOVANNIA SOUTINHO,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,DEBORA MACHADO,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,PALOMA KARUZA,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,ANTONIO AUGUSTO,Membro titular,Comitê
Governança,04030-00000071/2022-01,"INSTRUÇÃO Nº 32, DE 07 DE JUNHO DE 2024",Comitê Interno de Governança e Integridade Pública - CGIP,FABIANA CLAUDIA DE VASCONCELOS FRANCA,Membro titular,Comitê
Governança,04030-00000612/2022-92,"ORDEM DE SERVIÇO Nº 31, DE 26 DE SETEMBRO DE 2023",Comissão de Ética,SERGIO LUIZ ANTUNES NETTO CARREIRA,Presidente,Comissão
Governança,04030-00000612/2022-92,"ORDEM DE SERVIÇO Nº 31, DE 26 DE SETEMBRO DE 2023",Comissão de Ética,CLAUDIA ROSA MENDONCA,Membro suplente,Comissão
Governança,04030-00000612/2022-92,"ORDEM DE SERVIÇO Nº 31, DE 26 DE SETEMBRO DE 2023",Comissão de Ética,IVONETE ARAUJO CARVALHO LIMA GRANJEIRO,Membro titular,Comissão
Governança,04030-00000612/2022-92,"ORDEM DE SERVIÇO Nº 31, DE 26 DE SETEMBRO DE 2023",Comissão de Ética,GABRIEL BRISOLA DA CUNHA PRADO,Membro suplente,Comissão
Governança,04030-00000612/2022-92,"ORDEM DE SERVIÇO Nº 31, DE 26 DE SETEMBRO DE 2023",Comissão de Ética,LUCIANA DE CASTRO ALVARES,Membro Titular,Comissão
Governança,04030-00000612/2022-92,"ORDEM DE SERVIÇO Nº 31, DE 26 DE SETEMBRO DE 2023",Comissão de Ética,BRUNO GONTYJO DO COUTO,Membro suplente,Comissão
Compliance,04030-00001273/2023-42,"INSTRUÇÃO Nº 08, DE 06 DE ABRIL DE 2026",Comissão Permanente de Correição – CPCor,ALINE CRISTINA MONTES,Presidente,Comissão
Compliance,04030-00001273/2023-42,"INSTRUÇÃO Nº 08, DE 06 DE ABRIL DE 2026",Comissão Permanente de Correição – CPCor,FABIANA DE ANDRADE SOUZA BRAGA,Vice-Presidente,Comissão
Compliance,04030-00001273/2023-42,"INSTRUÇÃO Nº 08, DE 06 DE ABRIL DE 2026",Comissão Permanente de Correição – CPCor,MARIA DALVINA MAGALHAES DOURADO,Membro titular,Comissão
Compliance,04030-00001273/2023-42,"INSTRUÇÃO Nº 08, DE 06 DE ABRIL DE 2026",Comissão Permanente de Correição – CPCor,EDELISE MARIA CARVALHO SILVA,Membro titular,Comissão
Compliance,04030-00001273/2023-42,"INSTRUÇÃO Nº 08, DE 06 DE ABRIL DE 2026",Comissão Permanente de Correição – CPCor,LIDIANE SOUSA DE ALBUQUERQUE,Membro titular,Comissão
Compliance,04030-00001273/2023-42,"INSTRUÇÃO Nº 08, DE 06 DE ABRIL DE 2026",Comissão Permanente de Correição – CPCor,FRANCISCO CARLOS SALES JUNIOR,Membro titular,Comissão
Compliance,04030-00001273/2023-42,"INSTRUÇÃO Nº 08, DE 06 DE ABRIL DE 2026",Comissão Permanente de Correição – CPCor,BARBARA CRISTINA SOARES MARINHO,Membro titular,Comissão
Compliance,04030-00001273/2023-42,"INSTRUÇÃO Nº 08, DE 06 DE ABRIL DE 2026",Comissão Permanente de Correição – CPCor,GUILHERME BARONI MORALES,Membro titular,Comissão
Compliance,04030-00001273/2023-42,"INSTRUÇÃO Nº 08, DE 06 DE ABRIL DE 2026",Comissão Permanente de Correição – CPCor,VALERIA GOMES BORGES VIEIRA,Membro titular,Comissão
Compliance,04030-00001273/2023-42,"INSTRUÇÃO Nº 08, DE 06 DE ABRIL DE 2026",Comissão Permanente de Correição – CPCor,RICHARD JAMES LOPES DE ABREU,Membro titular,Comissão
Compliance,04030-00001273/2023-42,"INSTRUÇÃO Nº 08, DE 06 DE ABRIL DE 2026",Comissão Permanente de Correição – CPCor,MARIA DA CRUZ LOBO PORTELA,Membro titular,Comissão
Compliance,04030-00000206/2023-19,"ORDEM DE SERVIÇO Nº 14, DE 26 DE FEVEREIRO DE 2025",Comissão Permanente de Acumulação de Cargos Públicos - CPAC,RAPHAEL DOS REIS AUGUSTO,Presidente,Comissão
Compliance,04030-00000206/2023-19,"ORDEM DE SERVIÇO Nº 14, DE 26 DE FEVEREIRO DE 2025",Comissão Permanente de Acumulação de Cargos Públicos - CPAC,MARIA DA CRUZ LOBO PORTELA,Membro titular,Comissão
Compliance,04030-00000206/2023-19,"ORDEM DE SERVIÇO Nº 14, DE 26 DE FEVEREIRO DE 2025",Comissão Permanente de Acumulação de Cargos Públicos - CPAC,JULIANO SPOSITO GALDINO,Membro titular,Comissão
Governança,04030-00001481/2023-41,"PORTARIA Nº 07, DE 02 DE FEVEREIRO DE 2024",Comissão Eleitoral Provisória no âmbito dos órgãos colegiados - CEPU,GUILHERME BARONI MORALES,Presidente,Comissão
Governança,04030-00001481/2023-41,"PORTARIA Nº 07, DE 02 DE FEVEREIRO DE 2024",Comissão Eleitoral Provisória no âmbito dos órgãos colegiados - CEPU,GIOVANNI GRASSI,Membro titular,Comissão
Governança,04030-00001481/2023-41,"PORTARIA Nº 07, DE 02 DE FEVEREIRO DE 2024",Comissão Eleitoral Provisória no âmbito dos órgãos colegiados - CEPU,ROBERTA MOREIRA MATEUS,Membro titular,Comissão
Acadêmico,04030-00000504/2023-09,"PORTARIA Nº 02, DE 11 DE JANEIRO DE 2024",Comissão Permanente de Processo Seletivo para o ingresso de estudantes,JOAO FELIPE DE SOUZA,Presidente,Comissão
Acadêmico,04030-00000504/2023-09,"PORTARIA Nº 02, DE 11 DE JANEIRO DE 2024",Comissão Permanente de Processo Seletivo para o ingresso de estudantes,TAMAHINE SANTOS SALES,Membro titular,Comissão
Acadêmico,04030-00000504/2023-09,"PORTARIA Nº 02, DE 11 DE JANEIRO DE 2024",Comissão Permanente de Processo Seletivo para o ingresso de estudantes,ROSANGELA LOPES CRUZEIRO PEIXOTO,Membro titular,Comissão
Acadêmico,04030-00000504/2023-09,"PORTARIA Nº 02, DE 11 DE JANEIRO DE 2024",Comissão Permanente de Processo Seletivo para o ingresso de estudantes,ANA CRISTINA DE ALMEIDA,Membro titular,Comissão
Acadêmico,04030-00000504/2023-09,"PORTARIA Nº 02, DE 11 DE JANEIRO DE 2024",Comissão Permanente de Processo Seletivo para o ingresso de estudantes,PEDRO RODRIGUES DE ALENCAR,Membro titular,Comissão
Acadêmico,04030-00000504/2023-09,"PORTARIA Nº 02, DE 11 DE JANEIRO DE 2024",Comissão Permanente de Processo Seletivo para o ingresso de estudantes,FRANCISCO CARLOS SALES JUNIOR,Membro titular,Comissão
Acadêmico,04030-00000504/2023-09,"PORTARIA Nº 02, DE 11 DE JANEIRO DE 2024",Comissão Permanente de Processo Seletivo para o ingresso de estudantes,GUSTAVO CESAR DE ALMEIDA,Membro titular,Comissão
Acadêmico,04030-00000504/2023-09,"PORTARIA Nº 02, DE 11 DE JANEIRO DE 2024",Comissão Permanente de Processo Seletivo para o ingresso de estudantes,ROBERTA MOREIRA MATEUS,Membro titular,Comissão
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,ROBSON MONTEGOMERI RIBEIRO LUSTOSA,Coordenador,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,MAYSA DE FATIMA MOREIRA RODRIGUES,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,CAROLINA RAMOS HENRIQUE,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,GUILHERME PEREIRA RODRIGUES BORGES,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,IGOR LEAL SOUZA,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,FERNANDO LIMA MADEIRA,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,RICARDO BARROS SAMPAIO,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,EICK NICKSON FREIRE SILVA,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,LARISSA ARAUJO MATOS,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,SULA SALANI MOTA,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,EDSON ALVES DE LIMA,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,LURIAN JOSE REIS DA SILVA LIMA,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,JORGE RENAN MENDES MARINHO,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,RAFAEL SOUSA LIMA,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,BRUNO FERREIRA CORDEIRO,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,GIOVANNA SOUTINHO ARAUJO,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,ADRIANA BARBOSA SOCRATES,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,TERESA CHRISTINE PEREIRA MORAIS,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001061/2025-27,"ORDEM DE SERVIÇO Nº 46, DE 16 DE JUNHO DE 2025",Grupo de trabalho dos NDEs,MARCIA CARDOSO RODRIGUES,Membro titular,Grupo de Trabalho
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,JULIANO SPOSITO GALDINO,Presidente,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,DANUBIA DA COSTA TEIXEIRA,Secretária,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,CATARINA SAMAN DIOGENES CESARINO,Membro titular,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,LEONARDO PEREIRA DA COSTA,Membro titular,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,CAROLINA RAMOS HENRIQUE,Membro titular,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,VIVIANE MARIA XAVIER DE SENA,Membro titular,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,GUSTAVO JOSE OLIVEIRA DE SOUZA,Membro titular,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,PALOMA KARUZA MARONI DA SILVA,Membro titular,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,GIVAEL LIMA DA SILVA,Membro titular,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,MAYARA ARAUJO GUIMARAES,Membro titular,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,LARISSA ARAUJO MATOS,Membro suplente,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,LUCIANA NUNES FONSECA,Membro suplente,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,THAIS CRISTINA DE MELO SALVADOR,Membro suplente,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão de Heteroidentificação,RICARDO BATISTA MACHADO,Membro suplente,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão Recursal de Heteroidentificação Étnico-racial,PEDRO RODRIGUES DE ALENCAR,Presidente,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão Recursal de Heteroidentificação Étnico-racial,FRANK NELY PERES ALVES,Secretário,Comissão
Acadêmico,04030-00001284/2026-75,"Instrução Nº 21, de 08 de junho de 2026",Comissão Recursal de Heteroidentificação Étnico-racial,DAYSE RAYANE E SILVA MUNIZ,Membro titular,Comissão
Compliance,04030-00000430/2023-01,"ORDEM DE SERVIÇO Nº 39, DE 27 DE AGOSTO DE 2024",Comissão de Avaliação Socioeconômica (Seleção Unificada para Auxílios Estudantis),JULIANO SPOSITO GALDINO,Membro titular,Comissão
Compliance,04030-00000430/2023-01,"ORDEM DE SERVIÇO Nº 39, DE 27 DE AGOSTO DE 2024",Comissão de Avaliação Socioeconômica (Seleção Unificada para Auxílios Estudantis),ALINE CRISTINA MONTES,Membro titular,Comissão
Compliance,04030-00000430/2023-01,"ORDEM DE SERVIÇO Nº 39, DE 27 DE AGOSTO DE 2024",Comissão de Avaliação Socioeconômica (Seleção Unificada para Auxílios Estudantis),JOAO FELIPE DE SOUZA,Membro titular,Comissão
Compliance,04030-00000430/2023-01,"ORDEM DE SERVIÇO Nº 39, DE 27 DE AGOSTO DE 2024",Comissão de Avaliação Socioeconômica (Seleção Unificada para Auxílios Estudantis),GIOVANNI GRASSI,Membro titular,Comissão
Compliance,04030-00000430/2023-01,"ORDEM DE SERVIÇO Nº 39, DE 27 DE AGOSTO DE 2024",Comissão de Avaliação Socioeconômica (Seleção Unificada para Auxílios Estudantis),FELIPE SALOMAO CARDOSO,Membro titular,Comissão
Governança,00064-00000457/2023-92,"Instrução Nº 03, de 04 de fevereiro de 2025",Comissão de Acompanhamento do processo de integração da ESCS,FABIANA CLAUDIA DE VASCONCELOS FRANCA,Presidente,Comissão
Governança,00064-00000457/2023-92,"Instrução Nº 03, de 04 de fevereiro de 2025",Comissão de Acompanhamento do processo de integração da ESCS,ANGELA FERREIRA BARROS,Membro suplente,Comissão
Governança,00064-00000457/2023-92,"Instrução Nº 03, de 04 de fevereiro de 2025",Comissão de Acompanhamento do processo de integração da ESCS,THIAGO BLANCO VIEIRA,Membro titular,Comissão
Governança,00064-00000457/2023-92,"Instrução Nº 03, de 04 de fevereiro de 2025",Comissão de Acompanhamento do processo de integração da ESCS,ALINE DE OLIVEIRA COSTA,Membro suplente,Comissão
Governança,00064-00000457/2023-92,"Instrução Nº 03, de 04 de fevereiro de 2025",Comissão de Acompanhamento do processo de integração da ESCS,SERGIO EDUARDO SOARES FERNANDES,Membro titular,Comissão
Governança,00064-00000457/2023-92,"Instrução Nº 03, de 04 de fevereiro de 2025",Comissão de Acompanhamento do processo de integração da ESCS,FERNANDA RAMOS MONTEIRO,Membro suplente,Comissão
Acadêmico,04030-00001779/2023-51,INSTRUÇÃO N° 45 DE 15 DE OUTUBRO DE 2024,Comissão Docente de Avaliação Técnico-Científica,GABRIEL BRISOLA DA CUNHA,Presidente,Comissão
Acadêmico,04030-00001779/2023-51,INSTRUÇÃO N° 45 DE 15 DE OUTUBRO DE 2024,Comissão Docente de Avaliação Técnico-Científica,CLAUDIA VICARI BOLOGNAMI,Membro titular,Comissão
Acadêmico,04030-00001779/2023-51,INSTRUÇÃO N° 45 DE 15 DE OUTUBRO DE 2024,Comissão Docente de Avaliação Técnico-Científica,DAYSE RAYANE E SILVA MUNIZ,Membro titular,Comissão
Acadêmico,04030-00001779/2023-51,INSTRUÇÃO N° 45 DE 15 DE OUTUBRO DE 2024,Comissão Docente de Avaliação Técnico-Científica,GIOVANNA SOUTINHO ARAUJO,Membro titular,Comissão
Acadêmico,04030-00001779/2023-51,INSTRUÇÃO N° 45 DE 15 DE OUTUBRO DE 2024,Comissão Docente de Avaliação Técnico-Científica,GUSTAVO GARCIA DE MELO,Membro titular,Comissão
Acadêmico,04030-00001779/2023-51,INSTRUÇÃO N° 45 DE 15 DE OUTUBRO DE 2024,Comissão Docente de Avaliação Técnico-Científica,PALOMA KARUZA MARONI DA SILVA,Membro titular,Comissão
Acadêmico,04030-00001779/2023-51,INSTRUÇÃO N° 45 DE 15 DE OUTUBRO DE 2024,Comissão Docente de Avaliação Técnico-Científica,RICARDO BRASIL CHOUERI,Membro titular,Comissão
Acadêmico,04030-00001779/2023-51,INSTRUÇÃO N° 45 DE 15 DE OUTUBRO DE 2024,Comissão Docente de Avaliação Técnico-Científica,VINICIUS SOARES SILVA MARQUES,Membro titular,Comissão
Administrativo,04030-00001562/2023-41,"ORDEM DE SERVIÇO Nº 20, DE 28 DE JUNHO DE 2024",Comissão de Gestão de Patrimônio Imobiliário (CGPI),OSLANJEDOU DE SANTANA OLIVEIRA,Membro titular,Comissão
Administrativo,04030-00001562/2023-41,"ORDEM DE SERVIÇO Nº 20, DE 28 DE JUNHO DE 2024",Comissão de Gestão de Patrimônio Imobiliário (CGPI),FAUSTO PFAHL,Membro titular,Comissão
Administrativo,04030-00001562/2023-41,"ORDEM DE SERVIÇO Nº 20, DE 28 DE JUNHO DE 2024",Comissão de Gestão de Patrimônio Imobiliário (CGPI),RICARDO AUGUSTO RAMOS,Membro titular,Comissão
Administrativo,04030-00000097/2022-41,"ORDEM DE SERVIÇO Nº 20, DE 29 DE ABRIL DE 2024",Comissão Setorial de Avaliação de Documentos – CSAD,RACHEL CORADO,Presidente,Comissão
Administrativo,04030-00000097/2022-41,"ORDEM DE SERVIÇO Nº 20, DE 29 DE ABRIL DE 2024",Comissão Setorial de Avaliação de Documentos – CSAD,LUCIANA JACOBINA,Membro titular,Comissão
Administrativo,04030-00000097/2022-41,"ORDEM DE SERVIÇO Nº 20, DE 29 DE ABRIL DE 2024",Comissão Setorial de Avaliação de Documentos – CSAD,LUIZA MARTINS ARAUJO,Membro titular,Comissão
Administrativo,04030-00000097/2022-41,"ORDEM DE SERVIÇO Nº 20, DE 29 DE ABRIL DE 2024",Comissão Setorial de Avaliação de Documentos – CSAD,FRANCISCO SALES JUNIOR,Membro titular,Comissão
Administrativo,04030-00000097/2022-41,"ORDEM DE SERVIÇO Nº 20, DE 29 DE ABRIL DE 2024",Comissão Setorial de Avaliação de Documentos – CSAD,LUIZ FERNANDO SANTOS,Membro titular,Comissão
Gestão de Pessoas,00150-00000622/2019-23,"INSTRUÇÃO Nº 22, DE 17 DE ABRIL DE 2024",Comissão de Avaliação de Desempenho e Promoção Funcional dos Servidores,LARISSA CINTHIA DA SILVA BARRETO LIMA,Membro titular,Comissão
Gestão de Pessoas,00150-00000622/2019-23,"INSTRUÇÃO Nº 22, DE 17 DE ABRIL DE 2024",Comissão de Avaliação de Desempenho e Promoção Funcional dos Servidores,SUZANA MAHMUD SAID ARAR,Membro titular,Comissão
Gestão de Pessoas,00150-00000622/2019-23,"INSTRUÇÃO Nº 22, DE 17 DE ABRIL DE 2024",Comissão de Avaliação de Desempenho e Promoção Funcional dos Servidores,MARIANE APARECIDA GONCALVES DE ANDRADE,Membro titular,Comissão
Gestão de Pessoas,04030-00000281/2022-9,"Instrução Nº 29, de 12 de maio de 2025",Comissão Especial de qualidade de vida no trabalho (PQVT),LARISSA CINTHIA DA SILVA BARRETO LIMA,Membro titular,Comissão
Gestão de Pessoas,04030-00000281/2022-9,"Instrução Nº 29, de 12 de maio de 2025",Comissão Especial de qualidade de vida no trabalho (PQVT),ADRIANA BARBOSA SOCRATES,Membro titular,Comissão
Gestão de Pessoas,04030-00000281/2022-9,"Instrução Nº 29, de 12 de maio de 2025",Comissão Especial de qualidade de vida no trabalho (PQVT),EMANUELLE SANTOS CAMELO,Membro titular,Comissão
Gestão de Pessoas,04030-00000281/2022-9,"Instrução Nº 29, de 12 de maio de 2025",Comissão Especial de qualidade de vida no trabalho (PQVT),EDELISE MARIA CARVALHO SILVA,Membro suplente,Comissão
Gestão de Pessoas,04030-00000281/2022-9,"Instrução Nº 29, de 12 de maio de 2025",Comissão Especial de qualidade de vida no trabalho (PQVT),HEBERTON DOS SANTOS PEREIRA,Membro suplente,Comissão
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,GIOVANNI GRASSI,Presidente,Grupo de Trabalho
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,ANGELA FERREIRA BARROS,Membro titular,Grupo de Trabalho
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,GIOVANNA SOUTINHO ARAUJO,Membro titular,Grupo de Trabalho
Acadêmico,04030-00000731/2025-98,"Instrução Nº 26, de 16 de abril de 2025.",Grupo de Trabalho para elaboração de Política de Formação Docente,SULA SALANI MOTA,Membro titular,Grupo de Trabalho
